NomStation;Region;Prixforfait;Vertes;Bleues;Rouges;Noires;NbPistes;AltitudeMin;AltitudeMax;Denivele;Telesieges2places;Telesieges4places;Teleskis;Remontees
Abondance;Alpes du Nord;127;4;7;1;1;13;1140;1700;560;0;0;8;9
Abries en Queyras;Alpes du Sud;150;2;3;10;1;16;1550;2450;900;0;0;4;5
Aillons Margeriaz;Alpes du Nord;115;8;22;6;4;40;1000;1900;900;0;1;15;18
Albiez Montrond;Alpes du Nord;133;6;9;7;4;26;1500;2100;700;1;2;7;11
Alpe dHuez;Alpes du Nord;267;34;31;28;18;111;1860;3300;1440;3;0;31;70
Alpe du Grand Serre;Alpes du Nord;138;5;19;12;2;38;1367;2184;817;0;3;10;13
Ancelle;Alpes du Sud;119;5;7;7;1;20;1350;1807;557;0;2;11;12
Areches Beaufort;Alpes du Nord;150;2;11;12;4;29;1080;2320;1220;0;2;9;13
Artouste;Pyrenees;142;2;9;6;1;18;1400;2100;700;2;0;7;11
Arvieux en Queyras;Alpes du Sud;150;8;1;7;1;17;1690;2105;415;0;0;4;5
Ascou Pailheres;Pyrenees;113;4;5;6;2;17;1500;2100;530;0;0;6;7
Auris en oisans;Alpes du Nord;178;5;9;7;3;24;1600;3300;1730;2;2;4;11
Auron;Alpes du Sud;162;3;17;16;10;46;1600;2450;850;2;1;7;19
Aussois;Alpes du Nord;149;5;6;7;3;21;1500;2750;1250;1;0;4;8
Autrans;Alpes du Nord;96;5;4;5;2;16;1050;1710;660;0;1;8;9
Avoriaz;Alpes du Nord;260;6;25;14;6;51;1800;2460;1260;0;0;14;34
Ax 3 Domaines;Pyrenees;184;9;10;10;6;35;1400;2400;1000;2;1;11;19
Beille;Pyrenees;66;1;6;6;3;16;1800;2000;200;0;0;2;2
Bellevaux - Hirmentaz;Alpes du Nord;110;7;8;10;1;26;1100;1610;510;0;2;12;15
Bernex;Alpes du Nord;125;4;4;7;4;19;1000;2000;1000;0;1;9;12
Bessans;Alpes du Nord;51;1;2;0;0;3;1740;2000;260;0;0;3;3
Besse Super Besse;Massif central;202;5;9;9;4;27;1350;1800;500;1;4;16;22
Beuil les Launes;Alpes du Sud;172;11;11;28;6;56;1430;2100;670;0;3;16;9
Bolquere - Pyrenees 2000;Pyrenees;192;15;10;7;9;41;1650;2213;563;4;3;8;23
